,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
269,Víctor Laguardia\b7c99b9b,es ESP,DF,Alavés,32-072,1989,18,18,1613,17.9,2,1,2,0,0,4,0,0.11,0.06,0.17,0.11,0.17,1.1,1.1,0.0,1.1,0.06,0.00,0.06,0.06,0.06,Matches
270,Diego Lainez\bf12926c,mx MEX,FWMF,Betis,21-221,2000,3,1,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
271,Érik Lamela\abe66106,ar ARG,FW,Sevilla,29-318,1992,12,5,604,6.7,4,1,4,0,0,4,0,0.60,0.15,0.75,0.60,0.75,1.8,1.8,1.0,2.8,0.26,0.15,0.42,0.26,0.42,Matches
272,Toni Lato\8e088e04,es ESP,DF,Valencia,24-056,1997,6,4,354,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
273,Robin Le Normand\9a64e67e,fr FRA,DF,Real Sociedad,25-066,1996,20,20,1800,20.0,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.1,0.5,0.02,0.01,0.02,0.02,0.02,Matches
274,Jeremías Ledesma\6c4776b1,ar ARG,GK,Cádiz,28-337,1993,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
275,Wu Lei\e3fabb0a,cn CHN,FWMF,Espanyol,30-058,1991,12,3,300,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,1.0,0.13,0.17,0.31,0.13,0.31,Matches
276,Florian Lejeune\6eaed4eb,fr FRA,DF,Alavés,30-241,1991,13,13,1169,13.0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.04,0.01,0.05,0.04,0.05,Matches
277,Iñigo Lekue\59b7d823,es ESP,DF,Athletic Club,28-257,1993,19,17,1490,16.6,0,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.9,2.1,0.01,0.12,0.13,0.01,0.13,Matches
278,Thomas Lemar\4dbd0916,fr FRA,MF,Atlético Madrid,26-065,1995,14,11,956,10.6,3,4,3,0,0,2,0,0.28,0.38,0.66,0.28,0.66,2.2,2.2,2.6,4.9,0.21,0.25,0.46,0.21,0.46,Matches
279,Ruben Lendinez\755da865,es ESP,DF,Valencia,18-308,2003,3,0,47,0.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
280,Clément Lenglet\4f28a6ff,fr FRA,DF,Barcelona,26-213,1995,11,4,451,5.0,0,1,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,0.6,0.6,0.01,0.12,0.12,0.01,0.12,Matches
281,Javier Llabrés\38b0cf42,,FW,Mallorca,,,2,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.08,0.03,0.12,0.08,0.12,Matches
282,Marcos Llorente\02c15616,es ESP,DFMF,Atlético Madrid,26-351,1995,14,14,1167,13.0,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,1.2,1.5,0.03,0.09,0.12,0.03,0.12,Matches
283,Julen Lobete\a952a529,es ESP,FWMF,Real Sociedad,21-120,2000,12,2,280,3.1,2,0,2,0,0,0,0,0.64,0.00,0.64,0.64,0.64,1.5,1.5,0.0,1.5,0.49,0.00,0.49,0.49,0.49,Matches
284,Renan Lodi\ed9f7cfe,br BRA,DF,Atlético Madrid,23-283,1998,16,6,591,6.6,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,1.0,1.2,0.04,0.15,0.18,0.04,0.18,Matches
285,David López\f03f284b,es ESP,MF,Espanyol,32-099,1989,10,6,445,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.05,0.07,0.12,0.05,0.12,Matches
286,Diego López\73683fa9,es ESP,GK,Espanyol,40-074,1981,19,19,1710,19.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
287,Javi López\e9ada8cf,es ESP,DF,Alavés,20-015,2002,5,3,273,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
288,Unai López\88050721,es ESP,MF,Rayo Vallecano,26-078,1995,16,7,661,7.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.1,1.5,0.04,0.16,0.20,0.04,0.20,Matches
289,Anthony Lozano\38699c72,hn HON,FWMF,Cádiz,28-266,1993,16,12,959,10.7,5,1,5,0,0,4,0,0.47,0.09,0.56,0.47,0.56,2.8,2.8,0.7,3.5,0.27,0.06,0.33,0.27,0.33,Matches
290,José Luis Gayà\b05e2dbd,es ESP,DF,Valencia,26-236,1995,14,14,1206,13.4,2,2,2,0,0,5,0,0.15,0.15,0.30,0.15,0.30,0.7,0.7,1.1,1.8,0.05,0.08,0.13,0.05,0.13,Matches
291,José Luis Morales\4a478107,es ESP,FWMF,Levante,34-177,1987,19,16,1461,16.2,6,1,6,0,1,4,0,0.37,0.06,0.43,0.37,0.43,5.1,4.3,2.3,6.7,0.31,0.14,0.46,0.27,0.41,Matches
292,Florentino Luís\881cd6be,pt POR,MF,Getafe,22-150,1999,12,6,676,7.5,0,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.0,0.0,0.2,0.2,0.00,0.03,0.03,0.00,0.03,Matches
293,Darwin Machís\ed6ea4d9,ve VEN,MFFW,Granada,28-343,1993,13,11,820,9.1,2,0,2,0,0,1,0,0.22,0.00,0.22,0.22,0.22,0.9,0.9,0.9,1.8,0.10,0.10,0.20,0.10,0.20,Matches
294,Pablo Maffeo\5db04597,es ESP,DF,Mallorca,24-188,1997,18,18,1501,16.7,1,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,0.7,0.7,0.8,1.5,0.04,0.05,0.09,0.04,0.09,Matches
295,Nemanja Maksimović\00b28772,rs SRB,MF,Getafe,26-355,1995,20,20,1725,19.2,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,0.5,1.8,0.07,0.02,0.09,0.07,0.09,Matches
296,Hugo Mallo\cb574619,es ESP,DF,Celta Vigo,30-208,1991,13,13,1111,12.3,0,1,0,0,0,3,1,0.00,0.08,0.08,0.00,0.08,0.3,0.3,1.4,1.7,0.03,0.11,0.14,0.03,0.14,Matches
297,Mickael Malsa\bbc19252,mq MTQ,MF,Levante,26-096,1995,14,7,700,7.8,0,1,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.6,0.8,0.02,0.08,0.10,0.02,0.10,Matches
298,Giorgi Mamardashvili\d4b73232,ge GEO,GK,Valencia,21-109,2000,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
299,Aïssa Mandi\fbd6378b,dz ALG,DF,Villarreal,30-086,1991,8,8,720,8.0,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,1.2,1.2,0.0,1.2,0.15,0.00,0.15,0.15,0.15,Matches
300,Maranhão\ae86d473,br BRA,FWMF,Valencia,25-088,1996,17,3,510,5.7,1,2,1,0,0,0,0,0.18,0.35,0.53,0.18,0.53,2.4,2.4,1.2,3.6,0.43,0.21,0.64,0.43,0.64,Matches
301,Nikola Maraš\b9d0446f,rs SRB,DF,Rayo Vallecano,26-028,1995,6,4,372,4.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
302,Marcelo\603116a7,br BRA,DF,Real Madrid,33-249,1988,4,1,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.05,0.05,0.09,0.05,0.09,Matches
303,Iván Marcone\b14f755d,ar ARG,MF,Elche,31-227,1990,12,8,577,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
304,Óscar de Marcos\9f323c71,es ESP,DF,Athletic Club,32-277,1989,11,8,781,8.7,1,2,1,0,0,2,0,0.12,0.23,0.35,0.12,0.35,0.1,0.1,0.6,0.7,0.01,0.07,0.08,0.01,0.08,Matches
305,José María Giménez\f0da930c,uy URU,DF,Atlético Madrid,26-361,1995,11,11,930,10.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.07,0.00,0.07,0.07,0.07,Matches
306,Mariano\5c4dc0ff,do DOM,FW,Real Madrid,28-168,1993,3,1,120,1.3,0,1,0,0,0,0,0,0.00,0.75,0.75,0.00,0.75,0.4,0.4,0.4,0.8,0.31,0.28,0.59,0.31,0.59,Matches
307,Roger Martí\0ae4e09a,es ESP,FW,Levante,31-013,1991,15,14,1156,12.8,3,2,2,1,2,4,0,0.23,0.16,0.39,0.16,0.31,4.3,2.8,0.7,3.5,0.34,0.06,0.39,0.22,0.28,Matches
308,Martín\cbec0059,es ESP,MF,Cádiz,22-321,1999,6,1,115,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06,Matches
309,Andrés Martín\2ae30661,es ESP,FWMF,Rayo Vallecano,22-189,1999,7,1,186,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.18,0.00,0.18,0.18,0.18,Matches
310,Carlos Martín\64035864,es ESP,DF,Atlético Madrid,19-269,2002,1,0,6,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
311,Iván Martín\ae48c5cb,es ESP,MF,Alavés,22-336,1999,6,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
312,Iñigo Martínez\3fc45c73,es ESP,DF,Athletic Club,30-244,1991,16,16,1432,15.9,2,0,2,0,0,6,2,0.13,0.00,0.13,0.13,0.13,1.4,1.4,0.3,1.7,0.09,0.02,0.11,0.09,0.11,Matches
313,Javi Martínez\3672b352,es ESP,MFFW,Osasuna,22-025,1999,12,3,361,4.0,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.6,0.6,0.6,1.2,0.15,0.16,0.31,0.15,0.31,Matches
314,Pablo Martínez\ecc77652,es ESP,MF,Levante,23-328,1998,13,7,656,7.3,0,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,1.3,1.7,0.05,0.18,0.23,0.05,0.23,Matches
315,Omar Mascarell\11fd2b75,es ESP,MF,Elche,28-348,1993,17,16,1328,14.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.04,0.01,0.05,0.04,0.05,Matches
316,Jaime Mata\02319ad7,es ESP,FW,Getafe,33-084,1988,17,4,621,6.9,1,0,1,0,0,5,0,0.14,0.00,0.14,0.14,0.14,1.5,1.5,0.4,1.8,0.21,0.06,0.27,0.21,0.27,Matches
317,Luís Maximiano\3318286e,pt POR,GK,Granada,23-011,1999,17,17,1516,16.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
318,Jordi Mboula\4887118d,es ESP,FW,Mallorca,22-306,1999,11,5,434,4.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.06,0.02,0.08,0.06,0.08,Matches
319,Óscar Melendo\379652be,es ESP,MFFW,Espanyol,24-146,1997,10,8,481,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.07,0.10,0.17,0.07,0.17,Matches
320,Gonzalo Melero\3902e91b,es ESP,MF,Levante,28-014,1994,13,9,783,8.7,1,2,1,0,0,3,0,0.11,0.23,0.34,0.11,0.34,0.6,0.6,0.9,1.5,0.07,0.10,0.17,0.07,0.17,Matches
321,Brais Méndez\c9e39d91,es ESP,MFFW,Celta Vigo,25-009,1997,19,18,1507,16.7,2,3,2,0,0,6,0,0.12,0.18,0.30,0.12,0.30,2.6,2.6,1.3,3.9,0.16,0.08,0.24,0.16,0.24,Matches
322,Édgar Méndez\aed746df,es ESP,FWMF,Alavés,32-014,1990,16,6,689,7.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.4,1.8,0.18,0.05,0.23,0.18,0.23,Matches
323,Ferland Mendy\3cefcaef,fr FRA,DF,Real Madrid,26-222,1995,13,12,1029,11.4,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,0.6,0.6,0.9,1.5,0.05,0.08,0.13,0.05,0.13,Matches
324,Fran Mérida\0e50f929,es ESP,MF,Espanyol,31-318,1990,5,2,146,1.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.04,0.04,0.08,0.04,0.08,Matches
325,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,25-208,1996,17,17,1493,16.6,2,1,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,1.8,1.8,1.9,3.7,0.11,0.11,0.22,0.11,0.22,Matches
326,Martín Merquelanz\ddd5348b,es ESP,FW,Rayo Vallecano,26-218,1995,4,3,173,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.08,0.36,0.43,0.08,0.43,Matches
327,Matt Miazga\9fc0f253,us USA,DF,Alavés,26-181,1995,9,7,653,7.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.04,0.01,0.05,0.04,0.05,Matches
328,Miguel\6763373d,es ESP,FWMF,Alavés,22-135,1999,11,6,448,5.0,0,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.9,0.9,0.2,1.2,0.19,0.05,0.23,0.19,0.23,Matches
329,Éder Militão\2784f898,br BRA,DF,Real Madrid,23-363,1998,20,20,1800,20.0,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,1.8,1.8,0.7,2.4,0.09,0.03,0.12,0.09,0.12,Matches
330,Luis Milla\19c36442,es ESP,MF,Granada,27-101,1994,16,15,1306,14.5,1,2,0,1,1,2,0,0.07,0.14,0.21,0.00,0.14,1.0,0.3,1.5,1.8,0.07,0.11,0.18,0.02,0.12,Matches
331,Pere Milla\335039a2,es ESP,FWMF,Elche,29-115,1992,15,3,503,5.6,4,1,4,0,0,2,0,0.72,0.18,0.89,0.72,0.89,2.6,2.6,0.2,2.7,0.46,0.03,0.49,0.46,0.49,Matches
332,Santi Mina\0b90bb97,es ESP,FW,Celta Vigo,26-040,1995,19,19,1459,16.2,6,3,6,0,0,4,0,0.37,0.19,0.56,0.37,0.56,4.8,4.8,1.8,6.7,0.30,0.11,0.41,0.30,0.41,Matches
333,Óscar Mingueza\056269d7,es ESP,DF,Barcelona,22-248,1999,13,8,734,8.2,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.9,1.1,0.02,0.11,0.13,0.02,0.13,Matches
334,Rafa Mir\bbf5c11b,es ESP,FW,Sevilla,24-212,1997,18,13,1189,13.2,6,0,6,0,0,3,0,0.45,0.00,0.45,0.45,0.45,4.8,4.8,0.2,5.1,0.37,0.02,0.38,0.37,0.38,Matches
335,Jorge Miramón\7f4c7c9f,es ESP,DF,Levante,32-228,1989,13,9,864,9.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.04,0.04,0.00,0.04,Matches
336,Juan Miranda\ead61f73,es ESP,DF,Betis,21-362,2000,6,4,343,3.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
337,Stefan Mitrović\e6777e6b,rs SRB,DF,Getafe,31-239,1990,16,15,1274,14.2,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
338,Luka Modrić\6025fab1,hr CRO,MF,Real Madrid,36-129,1985,14,14,1095,12.2,0,4,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,1.2,1.2,2.4,3.6,0.10,0.19,0.30,0.10,0.30,Matches
339,Johan Mojica\608f2092,co COL,DF,Elche,29-148,1992,19,18,1616,18.0,1,3,1,0,0,2,0,0.06,0.17,0.22,0.06,0.22,0.5,0.5,2.9,3.4,0.03,0.16,0.19,0.03,0.19,Matches
340,Jorge Molina\43f71e77,es ESP,FW,Granada,39-269,1982,18,10,1020,11.3,7,2,7,0,0,1,0,0.62,0.18,0.79,0.62,0.79,3.4,3.4,0.7,4.1,0.30,0.06,0.37,0.30,0.37,Matches
341,Jon Moncayola\9939e168,es ESP,MF,Osasuna,23-248,1998,19,17,1495,16.6,1,3,1,0,0,2,0,0.06,0.18,0.24,0.06,0.24,1.1,1.1,0.9,2.0,0.07,0.05,0.12,0.07,0.12,Matches
342,Monchu\8ac501f5,es ESP,MF,Granada,22-125,1999,14,7,668,7.4,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7,0.06,0.03,0.09,0.06,0.09,Matches
343,Gonzalo Montiel\374d5158,ar ARG,DF,Sevilla,25-015,1997,10,10,702,7.8,1,2,1,0,0,3,0,0.13,0.26,0.38,0.13,0.38,0.1,0.1,1.2,1.3,0.01,0.15,0.17,0.01,0.17,Matches
344,Ángel Montoro\719384c1,es ESP,MF,Granada,33-205,1988,16,9,974,10.8,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,0.7,0.7,1.5,2.2,0.07,0.14,0.20,0.07,0.20,Matches
345,Martín Montoya\5cec2487,es ESP,DF,Betis,30-277,1991,6,6,518,5.8,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.1,1.5,0.06,0.19,0.25,0.06,0.25,Matches
346,Jon Morcillo\b7d7f3bf,es ESP,MF,Athletic Club,23-123,1998,7,0,54,0.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.63,0.00,0.63,0.63,0.63,Matches
347,Alberto Moreno\11b9265b,es ESP,MFDF,Villarreal,29-195,1992,18,8,804,8.9,3,1,3,0,0,2,0,0.34,0.11,0.45,0.34,0.45,2.8,2.8,1.5,4.3,0.31,0.17,0.48,0.31,0.48,Matches
348,Álex Moreno\16e9d0ea,es ESP,DF,Betis,28-222,1993,17,16,1334,14.8,3,2,3,0,0,2,1,0.20,0.13,0.34,0.20,0.34,1.8,1.8,1.3,3.1,0.12,0.09,0.21,0.12,0.21,Matches
349,Gerard Moreno\81f0781e,es ESP,FW,Villarreal,29-284,1992,11,10,858,9.5,8,2,7,1,2,2,0,0.84,0.21,1.05,0.73,0.94,6.1,4.6,3.5,8.0,0.64,0.37,1.00,0.48,0.84,Matches
350,Tete Morente\004d185e,es ESP,MF,Elche,25-043,1996,14,7,650,7.2,2,3,2,0,0,3,0,0.28,0.42,0.69,0.28,0.69,1.1,1.1,1.9,3.0,0.15,0.26,0.41,0.15,0.41,Matches
351,Manu Morlanes\a0255c67,es ESP,MF,Espanyol,23-004,1999,18,7,755,8.4,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.2,0.2,0.2,0.4,0.03,0.02,0.05,0.03,0.05,Matches
352,Loren Morón\3aa4a3be,es ESP,FW,Betis,28-017,1993,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
353,Loren Morón\3aa4a3be,es ESP,FWMF,Espanyol,28-017,1993,13,3,403,4.5,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,0.6,0.6,0.4,1.0,0.14,0.09,0.23,0.14,0.23,Matches
354,Toni Moya\9e098912,es ESP,MF,Alavés,23-302,1998,19,13,1067,11.9,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.1,1.1,1.3,2.4,0.09,0.11,0.20,0.09,0.20,Matches
355,Iker Muniain\c05dfb74,es ESP,MF,Athletic Club,29-028,1992,20,20,1559,17.3,2,5,1,1,1,1,0,0.12,0.29,0.40,0.06,0.35,4.0,3.2,4.8,8.0,0.23,0.28,0.50,0.18,0.46,Matches
356,Aihen Muñoz\228b0d9d,es ESP,DF,Real Sociedad,24-153,1997,16,13,1150,12.8,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.1,0.1,0.2,0.02,0.01,0.02,0.01,0.02,Matches
357,Jeison Murillo\b233e8e4,co COL,DF,Celta Vigo,29-234,1992,13,11,926,10.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.04,0.00,0.04,0.04,0.04,Matches
358,Yunus Musah\b51b1b9c,us USA,MFFW,Valencia,19-048,2002,15,3,468,5.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.9,0.9,0.02,0.17,0.18,0.02,0.18,Matches
359,Shkodran Mustafi\3f2d59fe,de GER,DF,Levante,29-274,1992,10,8,643,7.1,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
